"PMID","Title","Authors","Year","Journal","Abstract","DOI","DOI_URL","PubMed_URL","PMC_URL","FullText_Available","Publication_Type","MeSH_Terms","Keywords","Screening_Decision","Screening_Reason","Relevance_Score","Notes","Affiliations","Journal_Abbrev","Month","Volume","Issue","Pages","PMCID","Language","Country"
25356310,"The relationship between sexual function and quality of sleep in caregiving mothers of sons with duchenne muscular dystrophy.","Nozoe Karen T; Hachul Helena; Hirotsu Camila; Polesel Daniel N; Moreira Gustavo A; Tufik Sergio; Andersen Monica L","2014","Sexual medicine","[INTRODUCTION] The task of the caregiver, especially a caregiving mother of a son with a chronic and fatal disease, may interfere with their quality of sleep, sexuality, and some hormone levels. [AIM] The aim of this study was to evaluate the sexual function and the quality of sleep of caregiving mothers of sons with Duchenne muscular dystrophy (DMD). [METHODS] We evaluated 20 caregiving mothers of sons with DMD and 20 caregiving mothers of sons without any neuromuscular or chronic disease. All of them voluntarily responded to the evaluating questionnaires about their sexuality and their quality of sleep, and gave blood samples to evaluate their hormonal levels. [MAIN OUTCOME MEASURES] All mothers were evaluated using the questionnaire of Female Sexual Function Index (FSFI) and the Pittsburgh questionnaire (PSQI). The blood samples were tested to determine serum levels of testosterone, estradiol, follicle-stimulating hormone, luteinizing hormone, progesterone, adrenocorticotropic hormone, and cortisol. [RESULTS] Caregiving mothers of sons with DMD had significantly lower scores in the FSFI questionnaire, suggesting a higher risk for sexual dysfunction. The PSQI demonstrated that these caregiving mothers present increased sleep latency, reduced sleep efficiency, daytime dysfunction, and poor sleep quality. Blood tests showed a rise in cortisol levels, which correlated with the compromised sexuality and quality of sleep. [CONCLUSIONS] This study indicates that caregiving mothers of sons with DMD show major risk for sexual dysfunction and a reduction in their quality of sleep mediated in part by the hormonal changes related to stress. Nozoe KT, Hachul H, Hirotsu C, Polesel DN, Moreira GA, Tufik S, and Andersen ML. The relationship between sexual function and quality of sleep in caregiving mothers of sons with Duchenne muscular dystrophy. Sex Med 2014;2:133-140.","10.1002/sm2.29","https://doi.org/10.1002/sm2.29","https://pubmed.ncbi.nlm.nih.gov/25356310/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4184493/","OUI (PMC)","Journal Article","","Caregivers; Duchenne Muscular Dystrophy; Sexuality; Sleep; Testosterone; Women","","","","","Psychobiology, Universidade Federal de São Paulo Sao Paulo, Brazil. | Psychobiology, Universidade Federal de São Paulo Sao Paulo, Brazil. | Psychobiology, Universidade Federal de São Paulo Sao Paulo, Brazil. | Psychobiology, Universidade Federal de São Paulo Sao Paulo, Brazil. | Psychobiology, Universidade Federal de São Paulo Sao Paulo, Brazil. | Psychobiology, Universidade Federal de São Paulo Sao Paulo, Brazil. | Psychobiology, Universidade Federal de São Paulo Sao Paulo, Brazil.","Sex Med","Aug","2","3","133-40","PMC4184493","eng","England"
19078586,"Duchenne muscular dystrophy and glycerol kinase deficiency: a rare contiguous gene syndrome.","Amato A A","2000","Journal of clinical neuromuscular disease","Duchenne muscular dystrophy (DMD), glycerol kinase deficiency (GKD), and adrenal hypoplasia congenita (AHC) can occur together as part of a contiguous gene syndrome located at chromosome Xp21, GKD can manifest with recurrent episodes of vomiting, acidemia, mental retardation, or stupor. Involvement of the AHC gene can produce life-threatening adrenal insufficiency, sexual ambiguity, and electrolyte abnormalities. These associated conditions can make the diagnosis of DMD difficult. Neuromuscular specialists need to be aware of this contiguous gene syndrome because the potential life-threatening complications of GKD and AHC can be treated.","10.1097/00131402-200006000-00006","https://doi.org/10.1097/00131402-200006000-00006","https://pubmed.ncbi.nlm.nih.gov/19078586/",,"Via DOI","Journal Article","","","","","","","From the Department of Neurology, Brigham and Women's Hospital, Boston, MA.","J Clin Neuromuscul Dis","Jun","1","4","191",,"eng","United States"
8789451,"Deletions in Xq28 in two boys with myotubular myopathy and abnormal genital development define a new contiguous gene syndrome in a 430 kb region.","Hu L J; Laporte J; Kress W; Kioschis P; Siebenhaar R; Poustka A; Fardeau M; Metzenberg A; Janssen E A; Thomas N; Mandel J L; Dahl N","1996","Human molecular genetics","We have recently described a female patient with myotubular myopathy (MTM1) and an interstitial deletion at Xq28. Characterisation of the deletion allowed us to position the MTM1 gene to a 600 kb region between DXS304 and DXS497. In order to further restrict the region we screened for deletions in a set of 38 patients. We found two overlapping deletions in boys that in addition to MTM1 showed an unexpected abnormal genital development. As the latter phenotype is not found in the other non-deleted MTM1 patients, our observations are best explained by a contiguous gene syndrome. The deletions define a 430 kb region that contains the MTM1 gene and most likely a gene implicated in male sexual development. A high resolution physical map of this region is presented.","10.1093/hmg/5.1.139","https://doi.org/10.1093/hmg/5.1.139","https://pubmed.ncbi.nlm.nih.gov/8789451/",,"Via DOI","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","Base Sequence; Chromosome Mapping; Cloning, Molecular; Gene Deletion; Genetic Linkage; Genetic Markers; Genitalia, Male; Humans; Infant, Newborn; Male; Molecular Sequence Data; Muscle Hypotonia; Polymorphism, Restriction Fragment Length; Sequence Tagged Sites; Sex Chromosome Aberrations; Syndrome; X Chromosome","","","","","","Institut de Génetique et de Biologie Moléculaire et Cellulaire, CNRS/INSERM/ULP, Strasbourg, France.","Hum Mol Genet","Jan","5","1","139-43",,"eng","England"
22389795,"Patient preference assessment reveals disease aspects not covered by recommended outcomes in polymyositis and dermatomyositis.","Alemo Munters Li; van Vollenhoven Ronald F; Alexanderson Helene","2011","ISRN rheumatology","Objectives. Polymyositis (PM) and dermatomyositis (DM) are characterized by impaired muscle function with a majority of patients developing sustained disability. The aim of this study was to evaluate the patient's individual priorities (patient preference) of disabilities most important to improve in PM/DM using the MacMaster Toronto Arthritis Patient Preference Disability Questionnaire (MACTAR), to correlate the MACTAR to myositis outcomes and to evaluate its test-retest reliability. Methods. Twenty-eight patients with PM/DM performed recommended outcomes as well as the MACTAR, which was performed twice with one week apart. Results. Sexual activity, walking, biking, social activities, and sleep constituted the predominating disabilities. Seventy-two and 33% of the identified disabilities were not covered by items of the Health Assessment Questionnaire and the Myositis Activities Profile. Correlations between the MACTAR and health-related quality of life measures were r(s) = -0.67-0.73, correlations with measures of activities of daily living and participation in society were r(s) = 0.51-0.60 with lower correlations for other outcomes. Intraclass correlation (ICC) and weighted Kappa (K(w)) coefficients were 0.83 and 0.68, respectively, for test-retest reliability of the MACTAR. Conclusions. The MACTAR interview had promising measurement properties and identified patient preference disabilities in PM/DM that were not covered by recommended outcomes.","10.5402/2011/463124","https://doi.org/10.5402/2011/463124","https://pubmed.ncbi.nlm.nih.gov/22389795/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3263738/","OUI (PMC)","Journal Article","","","","","","","Department of Physical Therapy, Karolinska University Hospital, 171 76 Stockholm, Sweden.","ISRN Rheumatol",,"2011",,"463124","PMC3263738","eng","Egypt"
38162906,"Non-motor symptoms in motor neuron disease: prevalence, assessment and impact.","Beswick Emily; Forbes Deborah; Johnson Micheala; Newton Judith; Dakin Rachel; Glasmcher Stella; Abrahams Sharon; Carson Alan; Chandran Siddharthan; Pal Suvankar","2024","Brain communications","People with motor neuron disease often experience non-motor symptoms that may occur secondary to, or distinct from, motor degeneration and that may significantly reduce quality of life, despite being under-recognized and evaluated in clinical practice. Non-motor symptoms explored in this population-based study include pain, fatigue, gastrointestinal issues, poor sleep, low mood, anxiety, problematic saliva, apathy, emotional lability, cognitive complaints and sexual dysfunction. People registered on the Clinical Audit Research and Evaluation of motor neuron disease platform, the Scottish Motor Neuron Disease Register, were invited to complete a questionnaire on non-motor symptoms and a self-reported Amyotrophic Lateral Sclerosis Functional Rating Scale. The questionnaire comprised a pre-defined list of 11 potential non-motor symptoms, with the opportunity to list additional symptoms. A total of 120 individuals participated in this cross-sectional study, a 39% response rate of those sent questionnaires (n = 311); 99% of participants recruited (n = 120) experienced at least one non-motor symptom, with 72% (n = 120) reporting five or more. The symptoms most often reported were pain and fatigue (reported by 76% of participants, respectively). The symptoms reported to be most impactful were gastrointestinal issues (reported as 'severe' by 54% of participants who experienced them), followed by pain and problematic saliva (51%, respectively). Lower Amyotrophic Lateral Sclerosis Functional Rating Scale scores, indicating more advanced disease and being a long survivor [diagnosed over 8 years ago; Black et al. (Genetic epidemiology of motor neuron disease-associated variants in the Scottish population. Neurobiol Aging. 2017;51:178.e11-178.e20.)], were significantly associated with reporting more symptoms; 73% of respondents were satisfied with the frequency that non-motor symptoms were discussed in clinical care; 80% of participants indicated they believe evaluation of non-motor symptom is important to include as outcomes in trials, independent of their personal experience of these symptoms. The preferred method of assessment was completing questionnaires, at home. The overwhelming majority of people with motor neuron disease report non-motor symptoms and these frequently co-occur. Pain, fatigue, gastrointestinal issues, sleep, mood, anxiety, problematic saliva, apathy, emotional lability, cognitive complaints and sexual dysfunction are prevalent. People with motor neuron disease who had worse physical function and those who were long survivors were more likely to report more symptoms. Where reported, these symptoms are frequent, impactful and a priority for people with motor neuron disease in clinical care and trial design.","10.1093/braincomms/fcad336","https://doi.org/10.1093/braincomms/fcad336","https://pubmed.ncbi.nlm.nih.gov/38162906/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10754319/","OUI (PMC)","Journal Article","","impact; motor neuron disease; non-motor symptoms; prevalence; survey","","","","","Centre for Clinical Brain Sciences, the University of Edinburgh, Edinburgh, UK. | Anne Rowling Regenerative Neurology Clinic, the University of Edinburgh, Edinburgh, UK. | Euan MacDonald Centre for MND Research, the University of Edinburgh, Edinburgh, UK. | Centre for Clinical Brain Sciences, the University of Edinburgh, Edinburgh, UK. | Anne Rowling Regenerative Neurology Clinic, the University of Edinburgh, Edinburgh, UK. | Euan MacDonald Centre for MND Research, the University of Edinburgh, Edinburgh, UK. | Centre for Clinical Brain Sciences, the University of Edinburgh, Edinburgh, UK. | Anne Rowling Regenerative Neurology Clinic, the University of Edinburgh, Edinburgh, UK. | Euan MacDonald Centre for MND Research, the University of Edinburgh, Edinburgh, UK. | Centre for Clinical Brain Sciences, the University of Edinburgh, Edinburgh, UK. | Anne Rowling Regenerative Neurology Clinic, the University of Edinburgh, Edinburgh, UK. | Euan MacDonald Centre for MND Research, the University of Edinburgh, Edinburgh, UK. | Centre for Clinical Brain Sciences, the University of Edinburgh, Edinburgh, UK. | Anne Rowling Regenerative Neurology Clinic, the University of Edinburgh, Edinburgh, UK. | Euan MacDonald Centre for MND Research, the University of Edinburgh, Edinburgh, UK. | Anne Rowling Regenerative Neurology Clinic, the University of Edinburgh, Edinburgh, UK. | Euan MacDonald Centre for MND Research, the University of Edinburgh, Edinburgh, UK. | Euan MacDonald Centre for MND Research, the University of Edinburgh, Edinburgh, UK. | Human Cognitive Neurosciences, Psychology, School of Philosophy, Psychology and Language Sciences, the University of Edinburgh, Edinburgh, EH16 4SB, UK. | Centre for Clinical Brain Sciences, the University of Edinburgh, Edinburgh, UK. | Anne Rowling Regenerative Neurology Clinic, the University of Edinburgh, Edinburgh, UK. | Centre for Clinical Brain Sciences, the University of Edinburgh, Edinburgh, UK. | Anne Rowling Regenerative Neurology Clinic, the University of Edinburgh, Edinburgh, UK. | Euan MacDonald Centre for MND Research, the University of Edinburgh, Edinburgh, UK. | UK Dementia Research Institute, the University of Edinburgh, Edinburgh, EH16 4SB, UK. | Centre for Clinical Brain Sciences, the University of Edinburgh, Edinburgh, UK. | Anne Rowling Regenerative Neurology Clinic, the University of Edinburgh, Edinburgh, UK. | Euan MacDonald Centre for MND Research, the University of Edinburgh, Edinburgh, UK.","Brain Commun",,"6","1","fcad336","PMC10754319","eng","England"
36339574,"Synergistic association of resveratrol and histone deacetylase inhibitors as treatment in amyotrophic lateral sclerosis.","Parrella Edoardo; Porrini Vanessa; Scambi Ilaria; Gennari Michele M; Gussago Cristina; Bankole Oluwamolakun; Benarese Marina; Mariotti Raffaella; Pizzi Marina","2022","Frontiers in pharmacology","Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disease associated with motor neuron degeneration, progressive paralysis and finally death. Despite the research efforts, currently there is no cure for ALS. In recent years, multiple epigenetic mechanisms have been associated with neurodegenerative diseases. A pathological role for histone hypoacetylation and the abnormal NF-κB/RelA activation involving deacetylation of lysines, with the exclusion of lysine 310, has been established in ALS. Recent findings indicate that the pathological acetylation state of NF-κB/RelA and histone 3 (H3) occurring in the SOD1(G93A) murine model of ALS can be corrected by the synergistic combination of low doses of the AMP-activated kinase (AMPK)-sirtuin 1 pathway activator resveratrol and the histone deacetylase (HDAC) inhibitors MS-275 (entinostat) or valproate. The combination of the epigenetic drugs, by rescuing RelA and the H3 acetylation state, promotes a beneficial and sexually dimorphic effect on disease onset, survival and motor neurons degeneration. In this mini review, we discuss the potential of the epigenetic combination of resveratrol with HDAC inhibitors in the ALS treatment.","10.3389/fphar.2022.1017364","https://doi.org/10.3389/fphar.2022.1017364","https://pubmed.ncbi.nlm.nih.gov/36339574/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9633661/","OUI (PMC)","Journal Article; Review","","NF-κB/RelA; amyotrophic lateral sclerosis (ALS); epigenetic drugs; histone acetylation; histone deacetylase (HDAC) inhibitors; resveratrol; sexual dimorphism","","","","","Division of Pharmacology, Department of Molecular and Translational Medicine, University of Brescia, Brescia, Italy. | Division of Pharmacology, Department of Molecular and Translational Medicine, University of Brescia, Brescia, Italy. | Section of Anatomy and Histology, Department of Neuroscience, Biomedicine and Movement Sciences, University of Verona, Verona, Italy. | Division of Pharmacology, Department of Molecular and Translational Medicine, University of Brescia, Brescia, Italy. | Division of Pharmacology, Department of Molecular and Translational Medicine, University of Brescia, Brescia, Italy. | Section of Anatomy and Histology, Department of Neuroscience, Biomedicine and Movement Sciences, University of Verona, Verona, Italy. | Division of Pharmacology, Department of Molecular and Translational Medicine, University of Brescia, Brescia, Italy. | Section of Anatomy and Histology, Department of Neuroscience, Biomedicine and Movement Sciences, University of Verona, Verona, Italy. | Division of Pharmacology, Department of Molecular and Translational Medicine, University of Brescia, Brescia, Italy.","Front Pharmacol",,"13",,"1017364","PMC9633661","eng","Switzerland"
